metric,current_may26,prev_apr26,prev2_mar26,summary_total,pct_change_mom
Organic Traffic,33572,31468,29520,467420,6.7
Organic Keywords,8907,8688,8680,162331,2.5
Organic Traffic Cost,36599,35283,33670,581216,3.7
Paid Traffic,12543,12593,6607,518933,-0.4
Paid Keywords,55,51,50,4293,7.8
Paid Traffic Cost,23892,23672,8213,750656,0.9
